station_id,name,address,evcs_mode_1,charging_protocol_1,evcs_mode_2,charging_protocol_2,longitude_latitude_z,longitude,latitude,city,province
evcs0254,ACMobility EV Charging Hub - West Gallery Place,"28 St., Cor. 9th Ave, Basement, Fort Bonifacio, Taguig, Taguig - Pateros",Mode 3 (AC),Type 2,,,"14.5860727,121.0314079,13z",14.5860727,121.0314079,Taguig, Taguig - Pateros
evcs0255,Six/Neo,"26th St, 2nd, Fort Bonifacio, Taguig, Taguig - Pateros",Mode 3 (AC),Type 2,,GB/T AC,"14.5854793,121.0344053,13z",14.5854793,121.0344053,Taguig, Taguig - Pateros
evcs0256,RideBox Station Manila Golf 01,"Harvard Road, Ground Floor, Manila Golf And Country Club, Forbes Park, City Of Makati, National Capital Region - Fourth District",BSS,,,,"14.5851012,121.0240629,13z",14.5851012,121.0240629,Makati City, National Capital Region - Fourth District
evcs0257,ACMobility EV Charging Hub - A.T. Yuchengco Centre,"25th And 26th Street, Bonifacio Global City,, 3f Parking Area, Fort Bonifacio, Taguig, Taguig - Pateros",Mode 3 (AC),Type 2,,,"14.5851012,121.0240629,13z",14.5851012,121.0240629,Taguig, Taguig - Pateros
evcs0258,SM Aura Premier,"Mckinley Parkway, Basement 1-A, Sm Aura Premier, 26th Street, Fort Bonifacio, Taguig, Taguig - Pateros",Mode 3 (AC),Type 2,,,"14.5846826,121.0361044,13z",14.5846826,121.0361044,Taguig, Taguig - Pateros
evcs0259,RideBox Station Dasmarinas Village 01,"Campanilla, Ground Floor, 1417, Dasmariñas, City Of Makati, National Capital Region - Fourth District",BSS,,,,"14.5812343,121.0224674,13z",14.5812343,121.0224674,Makati City, National Capital Region - Fourth District
evcs0260,World Trade Center,"Outside, Parking Lot., Barangay 76, Pasay City, National Capital Region - Fourth District",Mode 3 (AC),Type 2,,GB/T AC,"14.5808998,120.9612517,12z",14.5808998,120.9612517,Pasay City, National Capital Region - Fourth District
evcs0261,"Sysnet Integrators Inc. - Pasay City, Harbor Drive. Moa Complex","Harbor Drive. Moa Complex, 2nd Floor Foure-Com Center Parking Lot, Barangay 76, Pasay City, National Capital Region - Fourth District",Mode 3 (AC),Type 2,,,"14.5808998,120.9591626,12z",14.5808998,120.9591626,Pasay City, National Capital Region - Fourth District
evcs0262,ACMobility EV Charging Hub - TRYP by Wyndham MOA,"Seaside Corner Jw Diokno Blvd, Gf, Barangay 76, Pasay City, National Capital Region - Fourth District",Mode 3 (AC),Type 2,,,"14.5808998,120.9591626,12z",14.5808998,120.9591626,Pasay City, National Capital Region - Fourth District
evcs0263,"Sysnet Integrators Inc. - Pasay City, Bayshore Ave. MOA Complex","Bayshore Ave. Moa Complex, 2nd Floor Threee-Comcenter Parking Lot, Barangay 76, Pasay City, National Capital Region - Fourth District",Mode 3 (AC),Type 2,,,"14.5808998,120.9589489,12z",14.5808998,120.9589489,Pasay City, National Capital Region - Fourth District
